STATE,TYPE,NWSC,NCO,RRK,RPP,FDP,EMP,FP,PICES,PSIESC,SD,SL,SSV,PF,SCORE,RANK
KERALA,Government,19,6,12,6,5,8,1,1,8,48,48,9,4,15.83,1
WEST BENGAL,Government,18,8,9,14,3,6,2,0,7,44,43,7,8,14.54,2
MAHARASHTRA,Government,10,5,10,4,1,9,1,1,1,50,49,5,7,14.52,3
KERALA,Government,10,6,12,16,6,15,1,1,6,45,35,3,8,14.32,4
KERALA,Government,14,3,7,7,1,9,0,0,3,47,47,7,10,14.32,5
UTTAR PRADESH,Government,11,8,7,5,2,7,1,0,8,48,46,6,5,13.94,6
UTTAR PRADESH,Government,22,9,9,12,7,8,1,1,8,48,40,8,9,13.92,7
TAMIL NADU,Government,8,5,4,12,3,4,2,0,7,50,50,9,1,13.92,8
MAHARASHTRA,Government,6,12,6,16,8,11,0,0,5,49,48,5,5,13.9,9
KERALA,Government,13,9,7,12,1,8,1,0,6,44,41,9,10,13.89,10
TELANGANA,Government,16,7,11,9,8,8,1,1,6,44,37,5,6,13.71,11
TAMIL NADU,Government,15,11,10,7,8,4,1,1,8,47,46,9,8,13.67,12
ANDHRA PRADESH,Government,22,12,6,9,5,4,1,1,8,47,34,5,5,13.56,13
MAHARASHTRA,Private,10,10,7,13,4,9,1,1,1,46,31,7,4,13.52,14
MAHARASHTRA,Government,20,3,9,8,1,10,0,1,6,44,31,3,3,13.44,15
MAHARASHTRA,Government,17,8,6,3,4,11,2,1,6,47,38,10,7,13.44,16
UTTAR PRADESH,Government,10,7,10,11,6,10,1,1,7,46,34,5,3,13.38,17
UTTAR PRADESH,Government,18,6,7,9,3,12,1,0,5,40,39,10,1,13.3,18
TELANGANA,Private,13,11,7,11,5,11,0,0,6,43,34,10,4,13.25,19
WEST BENGAL,Private,11,5,15,5,7,10,2,1,7,44,44,0,9,13.21,20
MEGHALAYA,Government,14,7,12,10,6,12,1,0,6,27,26,6,3,13.16,21
GUJARAT,Government,17,10,10,12,3,14,2,1,4,44,40,10,7,13.14,22
KERALA,Private,18,3,10,11,5,14,1,0,3,27,25,10,9,13.14,23
UTTAR PRADESH,Government,17,13,11,7,8,11,1,1,4,44,43,5,3,13.11,24
MAHARASHTRA,Government,19,8,6,11,4,9,1,0,2,43,41,10,10,13.11,25
UTTAR PRADESH,Government,11,10,6,4,3,5,1,0,7,45,38,6,3,13.06,26
UTTAR PRADESH,Private,14,3,13,6,6,14,0,0,7,44,34,4,7,13.06,27
TAMIL NADU,Government,21,11,15,10,6,13,1,0,7,26,20,9,5,13.05,28
UTTAR PRADESH,Government,5,13,9,11,4,9,1,1,3,46,38,3,4,13.05,29
KARNATAKA,Private,10,8,5,11,3,12,0,0,5,50,45,4,6,13.02,30
MAHARASHTRA,Government,12,11,10,10,3,9,2,0,6,50,36,7,7,13.0,31
KARNATAKA,Private,14,7,12,13,2,13,1,1,8,28,26,9,9,13.0,32
TAMIL NADU,Private,9,5,10,9,7,8,1,0,7,37,23,3,4,13.0,33
MAHARASHTRA,Private,17,8,11,7,3,11,1,1,5,41,38,5,6,12.98,34
KARNATAKA,Private,15,12,9,13,3,11,2,0,3,29,29,6,8,12.97,35
UTTAR PRADESH,Government,11,9,13,8,3,12,1,1,1,34,32,10,6,12.97,36
KERALA,Government,18,2,8,12,3,9,1,1,7,39,31,6,6,12.95,37
TAMIL NADU,Private,11,7,8,15,8,15,1,0,4,49,48,10,1,12.94,38
WEST BENGAL,Government,19,8,7,13,1,5,1,1,5,35,35,5,3,12.94,39
TELANGANA,Government,13,4,11,4,7,12,1,0,7,48,23,10,6,12.9,40
UTTAR PRADESH,Private,14,11,9,9,6,11,1,0,5,36,27,7,2,12.89,41
MAHARASHTRA,Government,15,8,4,9,8,14,0,1,8,40,24,4,4,12.89,42
PONDICHERRY,Government,16,9,4,6,1,12,1,1,4,50,47,7,4,12.86,43
GUJARAT,Government,17,8,7,13,4,8,1,0,5,45,42,5,3,12.83,44
UTTARAKHAND,Government,16,11,3,7,7,6,1,0,5,48,13,7,9,12.81,45
MADHYA PRADESH,Government,9,6,5,9,6,5,1,1,5,36,34,5,8,12.79,46
KERALA,Government,15,13,11,15,5,7,0,1,1,38,23,10,8,12.78,47
KARNATAKA,Government,12,9,10,7,4,11,1,0,1,49,27,6,10,12.73,48
UTTAR PRADESH,Government,4,9,5,10,5,5,0,1,8,49,26,8,10,12.71,49
MAHARASHTRA,Government,16,9,10,13,2,6,1,1,2,46,43,6,1,12.71,50
KARNATAKA,Government,21,6,8,10,4,7,1,0,4,45,19,3,5,12.7,51
TELANGANA,Private,12,4,8,4,4,7,2,0,3,47,31,9,4,12.7,52
MAHARASHTRA,Government,9,5,5,11,4,11,1,0,5,33,29,10,7,12.67,53
UTTAR PRADESH,Government,17,13,5,11,8,6,1,1,1,44,38,8,8,12.67,54
TRIPURA,Government,22,7,10,9,7,10,2,0,4,44,14,8,7,12.67,55
UTTAR PRADESH,Private,13,7,11,9,2,5,0,1,7,49,45,9,1,12.65,56
TAMIL NADU,Government,12,13,9,4,1,9,1,1,8,50,36,1,10,12.65,57
UTTAR PRADESH,Government,20,4,5,6,1,13,1,0,8,42,40,0,4,12.63,58
MAHARASHTRA,Government,15,7,5,9,7,13,1,0,4,45,25,8,7,12.63,59
KARNATAKA,Government,8,12,15,9,4,4,1,0,3,48,42,9,6,12.6,60
GOA,Government,19,14,14,9,5,4,1,1,1,44,38,0,7,12.59,61
GUJARAT,Government,12,10,8,14,8,6,1,0,4,49,31,8,2,12.56,62
TAMIL NADU,Government,14,8,8,9,1,5,1,0,6,50,41,2,6,12.54,63
HIMACHAL PRADESH,Private,8,6,7,9,7,6,2,1,4,33,22,3,8,12.54,64
KARNATAKA,Private,13,13,6,8,6,13,1,1,4,47,30,3,5,12.54,65
MAHARASHTRA,Private,11,14,12,10,5,5,1,1,6,41,30,1,8,12.51,66
MAHARASHTRA,Private,20,8,5,12,8,6,0,1,3,47,30,0,10,12.49,67
ANDHRA PRADESH,Private,14,5,9,4,2,10,1,0,5,48,19,6,4,12.48,68
MAHARASHTRA,Private,9,9,9,3,5,10,0,1,3,40,35,8,4,12.48,69
UTTAR PRADESH,Government,11,7,9,7,3,12,1,0,5,40,20,5,4,12.43,70
KERALA,Private,7,7,13,2,2,8,1,1,4,39,29,9,10,12.43,71
MAHARASHTRA,Private,18,9,4,2,6,7,1,0,5,48,36,4,10,12.43,72
UTTAR PRADESH,Private,11,8,3,4,1,10,0,1,5,44,31,8,3,12.41,73
HARYANA,Government,11,7,13,12,8,6,1,0,6,40,24,6,1,12.4,74
RAJASTHAN,Government,9,12,9,12,4,5,1,0,6,44,40,4,6,12.4,75
ANDHRA PRADESH,Government,16,10,11,5,1,8,1,0,7,38,38,0,7,12.38,76
ANDHRA PRADESH,Private,18,13,12,15,7,5,1,1,2,48,23,8,10,12.38,77
KARNATAKA,Government,16,10,9,5,4,5,1,0,3,50,33,9,2,12.35,78
MAHARASHTRA,Government,7,9,9,3,2,11,2,0,8,47,35,3,4,12.33,79
TELANGANA,Government,13,13,8,5,2,5,2,1,5,43,43,4,5,12.33,80
ANDHRA PRADESH,Government,14,9,7,14,1,15,1,0,6,41,21,2,9,12.32,81
TAMIL NADU,Government,12,7,5,8,8,5,1,0,5,35,9,10,7,12.29,82
KERALA,Government,20,7,6,14,5,12,2,1,3,41,23,2,0,12.27,83
UTTAR PRADESH,Government,17,5,10,10,7,11,2,1,1,35,30,5,10,12.24,84
TAMIL NADU,Government,14,9,10,9,4,6,1,1,7,42,19,6,2,12.24,85
TAMIL NADU,Government,18,7,5,8,2,12,2,0,8,41,28,6,5,12.22,86
UTTAR PRADESH,Government,14,8,13,5,2,6,2,0,1,20,10,9,9,12.21,87
ANDHRA PRADESH,Government,14,9,5,13,8,4,1,1,8,39,18,10,9,12.17,88
TELANGANA,Private,11,13,6,15,1,10,2,1,2,45,40,6,10,12.17,89
KARNATAKA,Government,19,10,4,10,7,3,1,0,8,49,46,3,1,12.14,90
KERALA,Government,19,8,10,16,7,12,2,1,7,34,20,8,1,12.13,91
MAHARASHTRA,Private,16,6,6,9,3,6,0,1,4,43,33,7,0,12.11,92
TAMIL NADU,Private,5,9,5,7,4,9,0,0,8,41,22,4,7,12.11,93
UTTAR PRADESH,Government,20,12,12,11,2,4,0,1,6,50,43,4,3,12.1,94
UTTAR PRADESH,Private,16,12,11,5,5,7,1,1,1,40,16,3,5,12.1,95
KARNATAKA,Government,12,9,8,10,8,11,1,1,6,49,39,8,2,12.1,96
RAJASTHAN,Government,6,13,7,10,7,4,1,0,3,44,37,0,7,12.1,97
UTTAR PRADESH,Government,15,14,9,9,8,5,1,1,7,28,27,1,5,12.08,98
UTTAR PRADESH,Government,11,9,7,11,3,8,0,0,3,49,1,10,7,12.06,99
TAMIL NADU,Private,15,3,8,9,3,14,1,1,2,29,29,3,8,12.06,100
WEST BENGAL,Government,7,10,8,9,1,9,2,1,1,35,20,0,8,12.06,101
KARNATAKA,Government,11,13,5,8,2,7,1,1,8,50,13,4,6,12.06,102
MAHARASHTRA,Government,20,6,16,13,2,7,2,1,5,31,20,9,8,12.03,103
MAHARASHTRA,Private,14,4,5,8,7,9,2,0,1,46,25,2,6,12.03,104
MADHYA PRADESH,Private,13,12,9,12,4,9,1,1,5,41,39,8,7,12.02,105
MAHARASHTRA,Government,10,10,4,8,8,11,2,0,2,45,29,4,5,12.0,106
UTTAR PRADESH,Government,20,7,9,7,8,11,1,0,8,49,41,1,1,12.0,107
UTTAR PRADESH,Government,12,6,12,9,2,13,1,1,1,19,17,10,10,11.97,108
MAHARASHTRA,Private,15,9,9,8,7,7,1,1,7,34,26,9,9,11.97,109
UTTAR PRADESH,Government,12,4,8,8,6,16,1,0,5,33,28,7,7,11.95,110
WEST BENGAL,Government,11,7,11,12,5,10,0,1,3,47,34,8,8,11.94,111
WEST BENGAL,Government,15,13,10,11,5,10,1,1,7,44,42,3,8,11.92,112
HARYANA,Private,17,12,4,6,1,7,1,1,7,36,34,6,10,11.92,113
TAMIL NADU,Government,13,5,12,6,5,3,1,0,7,36,7,7,7,11.9,114
UTTAR PRADESH,Government,15,11,10,9,7,5,1,1,4,50,49,9,1,11.9,115
ANDHRA PRADESH,Private,12,6,15,6,5,6,1,0,3,50,17,4,4,11.87,116
UTTAR PRADESH,Government,19,8,9,7,2,16,1,0,5,40,31,6,1,11.87,117
PONDICHERRY,Government,22,9,8,11,7,5,2,1,1,39,34,4,5,11.87,118
PUNJAB,Government,10,13,13,10,1,13,0,0,1,47,46,4,8,11.86,119
MAHARASHTRA,Government,17,12,8,11,7,5,1,0,2,47,40,5,7,11.84,120
TAMIL NADU,Private,8,7,9,14,7,9,0,0,7,41,15,3,10,11.84,121
WEST BENGAL,Private,14,9,13,14,7,7,1,1,4,40,40,4,4,11.84,122
KARNATAKA,Government,11,8,4,2,2,11,1,1,3,36,31,2,0,11.84,123
UTTAR PRADESH,Government,18,6,9,14,4,14,1,1,6,47,47,2,7,11.84,124
ANDHRA PRADESH,Government,8,12,8,12,1,8,1,0,8,42,35,8,3,11.84,125
HARYANA,Private,19,10,10,13,8,8,1,1,2,18,16,4,6,11.84,126
MAHARASHTRA,Government,13,11,13,9,1,12,1,0,8,40,28,9,8,11.83,127
UTTAR PRADESH,Private,7,10,8,4,8,7,2,0,1,43,21,4,8,11.83,128
TAMIL NADU,Government,15,9,8,8,7,9,0,1,4,39,17,5,5,11.83,129
GUJARAT,Private,12,9,12,5,2,6,1,0,5,44,1,4,10,11.81,130
MAHARASHTRA,Government,9,15,7,4,8,14,1,1,1,43,26,8,6,11.79,131
ANDHRA PRADESH,Government,16,10,4,13,2,8,0,1,8,39,35,9,2,11.76,132
GUJARAT,Private,15,10,7,12,4,7,1,1,8,31,19,1,5,11.76,133
GOA,Government,10,15,9,4,3,10,1,1,7,34,26,4,1,11.75,134
MAHARASHTRA,Government,15,15,8,13,7,12,1,0,8,45,18,5,1,11.73,135
MADHYA PRADESH,Private,13,4,10,5,3,10,1,0,7,46,44,8,4,11.7,136
TAMIL NADU,Private,20,10,5,11,5,11,1,1,4,34,17,5,4,11.68,137
UTTAR PRADESH,Private,14,7,8,5,8,9,2,0,4,50,36,3,9,11.67,138
